"ID","condition","correct","rt"
1,1,1,629.137187175173
1,1,1,874.623466650758
1,1,1,688.73059772957
1,1,1,605.459141003131
1,1,1,686.763236007293
1,1,1,653.278772812071
1,1,1,539.976987728339
1,1,1,911.167272916965
1,1,0,822.077661584174
1,1,1,561.151444049486
1,1,1,820.428036343795
1,1,1,573.069822988169
1,1,1,971.599208017876
1,1,1,725.993026890635
1,1,1,823.693623552352
1,1,1,570.446492874108
1,1,1,778.296701577445
1,1,1,545.286170828077
1,1,1,791.538742595396
1,1,1,745.801001508881
1,1,1,930.195842000001
1,1,1,598.096970258031
1,1,1,504.387033137923
1,1,1,587.332141874578
1,1,1,858.565632587085
1,1,1,598.776044347316
1,1,1,571.382888223917
1,1,1,612.700635293736
1,1,1,540.337440229355
1,1,1,711.437880014168
1,1,1,563.270259036145
1,1,1,602.672127358597
1,1,1,591.994224567517
1,1,1,572.254857148145
1,1,1,505.655190985048
1,1,1,526.3516892758
1,1,1,678.119154277955
1,1,1,555.128584979132
1,1,1,542.385188748849
1,1,1,672.791221796255
1,1,1,667.131344029389
1,1,1,824.222237461165
1,1,1,849.696056188902
1,1,1,530.743303738632
1,1,1,801.920625787492
1,1,1,565.799066272761
1,1,1,525.530992272275
1,1,1,467.992908053205
1,1,1,602.759571406416
1,1,1,709.572803216121
1,1,1,654.070336514448
1,1,1,699.196969288575
1,1,1,632.677755763391
1,1,1,587.895590530682
1,1,1,606.50018177639
1,1,1,611.863342901801
1,1,1,521.849434237351
1,1,1,793.634634509934
1,1,1,719.611180094062
1,1,1,513.926067898166
1,1,1,573.673863937394
1,1,1,3765.48435412675
1,1,1,725.092949730137
1,1,1,861.130144135673
1,1,1,871.341902884972
1,1,1,853.23960143637
1,1,1,615.632279492031
1,1,1,684.546243515449
1,1,1,664.165381791087
1,1,1,688.276860188738
1,1,1,712.392230596791
1,1,1,647.548030685683
1,1,1,644.483453097983
1,1,1,670.72294320121
1,1,1,925.56037864957
1,1,1,759.047819201906
1,1,1,833.434735346841
1,1,1,677.634908408638
1,1,1,774.848931223401
1,1,1,598.719171669849
1,1,1,609.648225201113
1,1,1,1179.5468703355
1,1,1,624.012585000961
1,1,1,732.444181750166
1,1,1,493.209753739442
1,1,1,818.472225592616
1,1,1,756.359944591636
1,1,1,505.491730734127
1,1,1,702.413760138451
1,1,1,496.633002120554
1,1,1,853.804983868144
1,1,1,731.342896038858
1,1,1,858.098809007834
1,1,1,642.857924284636
1,1,1,701.739294724312
1,1,1,646.300572485336
1,1,1,845.173694053979
1,1,1,531.308595594819
1,1,1,638.575016550329
1,1,1,683.731310957022
1,1,1,778.929802165716
1,1,1,702.234658804887
1,1,1,1083.42505931022
1,1,1,672.127099062049
1,1,1,478.786132374957
1,1,1,548.978180551539
1,1,1,644.132768529407
1,1,1,535.202384654078
1,1,1,583.410517653215
1,1,1,971.298600136825
1,1,1,1065.21615837585
1,1,1,828.139999230369
1,1,1,761.392337876629
1,1,1,611.612833513847
1,1,1,591.091521340677
1,1,1,539.719647915426
1,1,1,714.246265824133
1,1,1,852.774886395847
1,1,1,646.424782754651
1,1,1,971.705293990608
1,1,1,702.84535336605
1,1,1,670.255240203872
1,1,1,857.895232521979
1,1,1,704.590578151206
1,1,1,658.099167234573
1,1,1,1036.18295879022
1,1,1,604.52520315818
1,1,1,1142.12010549539
1,1,1,567.737645878128
1,1,1,688.594257715958
1,1,1,653.080813631494
1,1,1,854.76912584189
1,1,1,968.66874765061
1,1,1,863.677706233908
1,1,1,561.85721609475
1,1,1,718.446982786896
1,1,1,881.883426134599
1,1,1,563.035297644234
1,1,1,585.608985934762
1,1,1,562.974969483421
1,1,1,501.648176933321
1,1,1,777.035366598607
1,1,1,807.700372557798
1,1,1,681.81396103415
1,1,1,658.376647745874
1,1,1,749.484188691539
1,1,1,715.852082909007
1,1,1,785.701426888819
1,1,1,596.822030581755
1,1,1,522.049722509866
1,1,1,760.567807533399
1,1,0,816.697073162209
1,1,1,515.296281254678
1,1,1,555.877500659132
1,1,0,717.538635439136
1,1,1,1031.41309712139
1,1,1,989.807527663197
1,1,1,759.011603427278
1,1,1,803.807557537513
1,1,0,634.407732683465
1,1,1,721.809071929193
1,1,1,1185.32640729436
1,1,0,1310.6854470967
1,1,1,606.256387984336
1,1,0,908.878547153386
1,1,1,708.535548264196
1,1,1,843.458526232283
1,1,1,803.954677557629
1,1,1,801.138045437768
1,1,1,531.822316909015
1,1,1,736.115753271879
1,1,1,797.648511852768
1,1,1,557.197436295563
1,1,1,529.853252742101
1,1,1,770.623345869552
1,1,0,847.620800785373
1,1,1,1090.1158911581
1,1,1,662.88919119479
1,1,1,722.493187835616
1,1,1,828.089666545438
1,1,1,699.029059820973
1,1,1,579.996950887346
1,1,1,937.745380958371
1,1,1,899.653589125256
1,1,1,731.252609563843
1,1,1,774.179088852419
1,1,1,734.56357291191
1,1,1,864.720199961849
1,1,1,703.775341351806
1,1,1,774.178343315542
1,1,1,1126.15715021504
1,1,1,821.43708946372
1,1,1,530.348358603617
1,1,1,588.928147860939
1,1,1,838.611312474162
1,1,1,701.738765810117
1,1,1,719.866899834363
1,1,0,1295.40147941293
1,1,1,498.73810308479
1,1,1,752.899671019462
1,1,0,1049.63796907745
1,1,1,781.385567483079
1,1,1,636.446640188844
1,1,1,702.596215165996
1,1,1,543.701829841808
1,1,1,581.777161770147
1,1,1,730.485110114258
1,1,1,568.075444591159
1,1,1,953.167798483998
1,1,1,691.646683111539
1,1,1,926.470260605744
1,1,1,630.206183257138
1,1,1,647.042976105585
1,1,1,504.863049725682
1,1,1,678.435613291575
1,1,1,632.236084878471
1,1,1,629.738517828456
1,1,1,669.938448720701
1,1,1,1030.41685385844
1,1,1,795.158492895227
1,1,1,719.592767325183
1,1,1,543.96858363442
1,1,1,842.281320954082
1,1,1,1011.47389967605
1,1,1,770.321127780981
1,1,1,513.414553118187
1,1,1,851.293327892285
1,1,1,558.842408601732
1,1,1,693.903833625426
1,1,1,507.308623683008
1,1,1,952.890256825256
1,1,1,628.768354940514
1,1,1,679.209542219462
1,1,1,737.479533648793
1,1,1,568.664258038743
1,1,1,1373.05809882361
1,1,0,753.635848815931
1,1,1,589.07145135033
1,1,1,615.387798795768
1,1,1,660.219298083018
1,1,1,584.366718301928
1,1,1,535.339215905985
1,1,1,532.37963372367
1,1,1,625.196820106838
1,1,1,843.879110029224
1,1,1,645.640088086767
1,1,1,575.859246512542
1,1,1,650.348984592307
1,1,1,728.974210646857
1,1,1,742.081554866349
1,1,1,523.297195644981
1,1,1,746.009801951297
1,1,1,496.746268126322
1,1,1,578.260567138597
1,1,1,538.047741158283
1,1,1,683.683356418199
1,1,1,673.266649993306
1,1,1,698.252400023332
1,1,1,759.501816632799
1,1,1,1181.44292480746
1,1,1,581.216066826265
1,1,1,598.896624659322
1,1,1,543.770628130267
1,1,1,798.387614536454
1,1,1,744.482474826001
1,1,1,627.503155110656
1,1,1,704.643325801816
1,1,1,729.766458911936
1,1,1,739.315258144631
1,1,1,547.845362692627
1,1,1,905.875650367283
1,1,1,489.908385866137
1,1,1,731.05127642781
1,1,1,917.51967414056
1,1,1,1088.5206517737
1,1,1,587.267078555019
1,1,1,668.459455656297
1,1,1,744.750193788039
1,1,1,701.403610299859
1,1,1,1036.89593448176
1,1,1,856.924886496484
1,1,1,673.283477347308
1,1,1,1168.47074256703
1,1,1,618.667169262693
1,1,1,902.077672003181
1,1,1,550.136836564836
1,1,1,742.044638659181
1,1,1,639.620958649744
1,1,0,778.281375727661
1,1,1,1077.31304228003
1,1,1,558.509385982109
1,1,1,475.112933488419
1,1,1,811.414084329122
1,1,1,553.814265607254
1,1,1,750.898658236678
1,1,1,683.804136941499
1,1,1,700.088775657118
1,1,1,735.10911583976
1,1,1,806.324620609449
1,1,1,471.053558184591
1,1,1,889.432632880039
1,1,1,547.362371747897
1,1,1,565.999179888282
1,1,1,835.269691467007
1,1,1,1240.41455034203
1,1,1,622.588828994551
1,1,1,1076.89792261024
1,1,1,635.225054110095
1,1,0,749.485003027714
1,1,1,639.305233855675
1,1,1,618.034058410244
1,1,1,773.605746067156
1,1,1,536.740152084029
1,1,1,698.142907515372
1,1,1,1232.42727413054
1,1,1,972.3413777872
1,1,1,596.426575067299
1,1,1,606.838938986039
1,1,1,895.717223536116
1,1,1,805.734098870326
1,1,1,551.007044453875
1,1,1,575.718119886466
1,1,1,2121.25851943297
1,1,1,760.359134273976
1,1,1,833.946913548958
1,1,1,611.356353809868
1,1,1,878.083031931582
1,1,1,805.551185189757
1,1,1,704.328400157633
1,1,1,553.375613829293
1,1,1,569.140528709815
1,1,1,734.0425389285
1,1,1,623.911080107538
1,1,1,827.698425973578
1,1,1,593.333482858348
1,1,1,809.157717348007
1,1,1,1169.67025521134
1,1,1,562.61275119066
1,1,1,772.107379015701
1,1,1,563.603294090966
1,1,1,958.318283331058
1,1,1,666.385119759009
1,1,1,633.020153415038
1,1,1,580.006753468508
1,1,1,724.194671218927
1,1,1,1118.05457937448
1,1,1,712.645302096994
1,1,1,658.290466563227
1,1,1,1712.15717991423
1,1,1,712.760366697623
1,1,1,635.343395932386
1,1,1,764.187355017762
1,1,1,846.123850432761
1,1,1,559.807894442655
1,1,1,662.231892751724
1,1,1,1152.60300038231
1,1,1,784.086478962083
1,1,1,625.504184768876
1,1,1,602.066337196139
1,1,1,963.196419435714
1,1,1,756.633338862588
1,1,1,484.009714363469
1,1,1,666.249234931294
1,1,1,733.726869016801
1,1,1,532.61562321739
1,1,1,793.240180516752
1,1,1,515.483070386154
1,1,0,1083.42155402563
1,1,1,504.760175979133
1,1,1,672.543137888297
1,1,0,682.635935616169
1,1,1,665.420283722626
1,1,1,675.981714477848
1,1,1,653.798486492656
1,1,1,557.751097081295
1,1,1,787.639766559538
1,1,1,813.329155920343
1,1,1,724.451549913831
1,1,1,592.683740769511
1,1,1,939.947060887523
1,1,1,801.232710549696
1,1,1,848.828362455648
1,1,1,553.701675467903
1,1,1,2622.30562363647
1,1,1,1132.3407366217
